,Gitter_ID_100m,x_mp_100m,y_mp_100m,Einwohner
34078701,100mN34307E43235,4323550,3430750,-1
34078702,100mN34307E43236,4323650,3430750,-1
34078703,100mN34307E43237,4323750,3430750,-1
34078704,100mN34307E43238,4323850,3430750,-1
34078705,100mN34307E43239,4323950,3430750,-1
34078706,100mN34307E43240,4324050,3430750,-1
34078707,100mN34307E43241,4324150,3430750,-1
34078708,100mN34307E43242,4324250,3430750,-1
34078709,100mN34307E43243,4324350,3430750,-1
34078710,100mN34307E43244,4324450,3430750,-1
34078711,100mN34307E43245,4324550,3430750,-1
34078712,100mN34307E43246,4324650,3430750,-1
34078713,100mN34307E43247,4324750,3430750,-1
34078714,100mN34307E43248,4324850,3430750,-1
34078715,100mN34307E43249,4324950,3430750,-1
34078716,100mN34307E43250,4325050,3430750,-1
34078717,100mN34307E43251,4325150,3430750,-1
34078718,100mN34307E43252,4325250,3430750,-1
34078719,100mN34307E43253,4325350,3430750,-1
34078720,100mN34307E43254,4325450,3430750,-1
34078721,100mN34307E43255,4325550,3430750,-1
34078722,100mN34307E43256,4325650,3430750,-1
34078723,100mN34307E43257,4325750,3430750,-1
34078724,100mN34307E43258,4325850,3430750,-1
34078725,100mN34307E43259,4325950,3430750,-1
34078726,100mN34307E43260,4326050,3430750,-1
34078727,100mN34307E43261,4326150,3430750,-1
34078728,100mN34307E43262,4326250,3430750,-1
34078729,100mN34307E43263,4326350,3430750,-1
34078730,100mN34307E43264,4326450,3430750,-1
34078731,100mN34307E43265,4326550,3430750,-1
34078732,100mN34307E43266,4326650,3430750,-1
34078733,100mN34307E43267,4326750,3430750,-1
34078734,100mN34307E43268,4326850,3430750,-1
34078735,100mN34307E43269,4326950,3430750,-1
34078736,100mN34307E43270,4327050,3430750,-1
34081969,100mN34308E43174,4317450,3430850,-1
34081970,100mN34308E43175,4317550,3430850,-1
34081971,100mN34308E43176,4317650,3430850,-1
34081972,100mN34308E43177,4317750,3430850,-1
34081973,100mN34308E43178,4317850,3430850,-1
34081974,100mN34308E43179,4317950,3430850,-1
34081975,100mN34308E43180,4318050,3430850,-1
34081976,100mN34308E43181,4318150,3430850,-1
34081977,100mN34308E43182,4318250,3430850,-1
34081978,100mN34308E43183,4318350,3430850,-1
34081979,100mN34308E43184,4318450,3430850,-1
34081980,100mN34308E43185,4318550,3430850,-1
34081981,100mN34308E43186,4318650,3430850,-1
34081982,100mN34308E43187,4318750,3430850,-1
34081983,100mN34308E43188,4318850,3430850,-1
34081984,100mN34308E43189,4318950,3430850,-1
34081985,100mN34308E43190,4319050,3430850,-1
34081986,100mN34308E43191,4319150,3430850,-1
34081987,100mN34308E43192,4319250,3430850,-1
34081988,100mN34308E43193,4319350,3430850,-1
34081989,100mN34308E43194,4319450,3430850,-1
34081990,100mN34308E43195,4319550,3430850,-1
34081991,100mN34308E43196,4319650,3430850,-1
34081992,100mN34308E43197,4319750,3430850,-1
34081993,100mN34308E43198,4319850,3430850,-1
34081994,100mN34308E43199,4319950,3430850,-1
34081995,100mN34308E43200,4320050,3430850,4
34081996,100mN34308E43201,4320150,3430850,24
34081997,100mN34308E43202,4320250,3430850,13
34081998,100mN34308E43203,4320350,3430850,19
34081999,100mN34308E43204,4320450,3430850,-1
34082000,100mN34308E43205,4320550,3430850,-1
34082001,100mN34308E43206,4320650,3430850,-1
34082002,100mN34308E43207,4320750,3430850,-1
34082003,100mN34308E43208,4320850,3430850,-1
34082004,100mN34308E43209,4320950,3430850,-1
34082005,100mN34308E43210,4321050,3430850,-1
34082006,100mN34308E43211,4321150,3430850,-1
34082007,100mN34308E43212,4321250,3430850,-1
34082008,100mN34308E43213,4321350,3430850,-1
34082009,100mN34308E43214,4321450,3430850,-1
34082010,100mN34308E43215,4321550,3430850,-1
34082011,100mN34308E43216,4321650,3430850,-1
34082012,100mN34308E43217,4321750,3430850,-1
34082013,100mN34308E43218,4321850,3430850,-1
34082014,100mN34308E43219,4321950,3430850,-1
34082015,100mN34308E43220,4322050,3430850,-1
34082016,100mN34308E43221,4322150,3430850,-1
34082017,100mN34308E43222,4322250,3430850,-1
34082018,100mN34308E43223,4322350,3430850,-1
34082019,100mN34308E43224,4322450,3430850,-1
34082020,100mN34308E43225,4322550,3430850,-1
34082021,100mN34308E43226,4322650,3430850,-1
34082022,100mN34308E43227,4322750,3430850,-1
34082023,100mN34308E43228,4322850,3430850,-1
34082024,100mN34308E43229,4322950,3430850,-1
34082025,100mN34308E43230,4323050,3430850,-1
34082026,100mN34308E43231,4323150,3430850,-1
34082027,100mN34308E43232,4323250,3430850,-1
34082028,100mN34308E43233,4323350,3430850,-1
34082029,100mN34308E43234,4323450,3430850,-1
34082030,100mN34308E43235,4323550,3430850,-1
34082031,100mN34308E43236,4323650,3430850,-1
34082032,100mN34308E43237,4323750,3430850,-1
34082033,100mN34308E43238,4323850,3430850,-1
34082034,100mN34308E43239,4323950,3430850,-1
34082035,100mN34308E43240,4324050,3430850,-1
34082036,100mN34308E43241,4324150,3430850,-1
34082037,100mN34308E43242,4324250,3430850,-1
34082038,100mN34308E43243,4324350,3430850,-1
34082039,100mN34308E43244,4324450,3430850,-1
34082040,100mN34308E43245,4324550,3430850,-1
34082041,100mN34308E43246,4324650,3430850,-1
34082042,100mN34308E43247,4324750,3430850,-1
34082043,100mN34308E43248,4324850,3430850,-1
34082044,100mN34308E43249,4324950,3430850,-1
34082045,100mN34308E43250,4325050,3430850,-1
34082046,100mN34308E43251,4325150,3430850,-1
34082047,100mN34308E43252,4325250,3430850,-1
34082048,100mN34308E43253,4325350,3430850,-1
34082049,100mN34308E43254,4325450,3430850,-1
34082050,100mN34308E43255,4325550,3430850,-1
34082051,100mN34308E43256,4325650,3430850,-1
34082052,100mN34308E43257,4325750,3430850,-1
34082053,100mN34308E43258,4325850,3430850,-1
34082054,100mN34308E43259,4325950,3430850,-1
34082055,100mN34308E43260,4326050,3430850,-1
34082056,100mN34308E43261,4326150,3430850,-1
34082057,100mN34308E43262,4326250,3430850,-1
34082058,100mN34308E43263,4326350,3430850,-1
34082059,100mN34308E43264,4326450,3430850,-1
34082060,100mN34308E43265,4326550,3430850,-1
34082061,100mN34308E43266,4326650,3430850,-1
34082062,100mN34308E43267,4326750,3430850,-1
34082063,100mN34308E43268,4326850,3430850,-1
34082064,100mN34308E43269,4326950,3430850,-1
34082065,100mN34308E43270,4327050,3430850,-1
34085288,100mN34309E43174,4317450,3430950,-1
34085289,100mN34309E43175,4317550,3430950,-1
34085290,100mN34309E43176,4317650,3430950,-1
34085291,100mN34309E43177,4317750,3430950,-1
34085292,100mN34309E43178,4317850,3430950,-1
34085293,100mN34309E43179,4317950,3430950,-1
34085294,100mN34309E43180,4318050,3430950,-1
34085295,100mN34309E43181,4318150,3430950,-1
34085296,100mN34309E43182,4318250,3430950,-1
34085297,100mN34309E43183,4318350,3430950,-1
34085298,100mN34309E43184,4318450,3430950,-1
34085299,100mN34309E43185,4318550,3430950,-1
34085300,100mN34309E43186,4318650,3430950,-1
34085301,100mN34309E43187,4318750,3430950,-1
34085302,100mN34309E43188,4318850,3430950,-1
34085303,100mN34309E43189,4318950,3430950,-1
34085304,100mN34309E43190,4319050,3430950,-1
34085305,100mN34309E43191,4319150,3430950,3
34085306,100mN34309E43192,4319250,3430950,-1
34085307,100mN34309E43193,4319350,3430950,-1
34085308,100mN34309E43194,4319450,3430950,-1
34085309,100mN34309E43195,4319550,3430950,-1
34085310,100mN34309E43196,4319650,3430950,-1
34085311,100mN34309E43197,4319750,3430950,-1
34085312,100mN34309E43198,4319850,3430950,-1
34085313,100mN34309E43199,4319950,3430950,-1
34085314,100mN34309E43200,4320050,3430950,6
34085315,100mN34309E43201,4320150,3430950,19
