,Gitter_ID_100m,Gitter_ID_100m_neu,Merkmal,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
64338202,100mN34308E43200,CRS3035RES100mN3430800E4320000, INSGESAMT,0,Einheiten insgesamt,4,0
64338203,100mN34308E43200,CRS3035RES100mN3430800E4320000,ALTER_10JG,6,50 - 59,3,0
64338204,100mN34308E43200,CRS3035RES100mN3430800E4320000,ALTER_KURZ,2,18 - 29,3,0
64338205,100mN34308E43200,CRS3035RES100mN3430800E4320000,ALTER_KURZ,4,50 - 64,3,0
64338206,100mN34308E43200,CRS3035RES100mN3430800E4320000,FAMSTND_AUSF,1,Ledig,3,0
64338207,100mN34308E43200,CRS3035RES100mN3430800E4320000,FAMSTND_AUSF,2,Verheiratet,3,0
64338208,100mN34308E43200,CRS3035RES100mN3430800E4320000,GEBURTLAND_GRP,1,Deutschland,4,0
64338209,100mN34308E43200,CRS3035RES100mN3430800E4320000,GESCHLECHT,1,Mnnlich,3,0
64338210,100mN34308E43200,CRS3035RES100mN3430800E4320000,RELIGION_KURZ,2,Evangelische Kirche (ffentlich-rechtlich),3,0
64338211,100mN34308E43200,CRS3035RES100mN3430800E4320000,STAATSANGE_GRP,1,Deutschland,4,0
64338212,100mN34308E43200,CRS3035RES100mN3430800E4320000,STAATSANGE_HLND,1,Deutschland,4,0
64338213,100mN34308E43200,CRS3035RES100mN3430800E4320000,STAATSANGE_KURZ,1,Deutschland,4,0
64338214,100mN34308E43200,CRS3035RES100mN3430800E4320000,STAATZHL,1,Eine Staatsangehrigkeit,4,0
64338215,100mN34308E43201,CRS3035RES100mN3430800E4320100, INSGESAMT,0,Einheiten insgesamt,24,0
64338216,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,1,Unter 10,3,0
64338217,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,2,10 - 19,3,0
64338218,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,5,40 - 49,8,0
64338219,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,6,50 - 59,4,0
64338220,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,7,60 - 69,3,0
64338221,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_10JG,9,80 und lter,3,0
64338222,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_KURZ,1,Unter 18,5,0
64338223,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_KURZ,3,30 - 49,8,0
64338224,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_KURZ,4,50 - 64,5,0
64338225,100mN34308E43201,CRS3035RES100mN3430800E4320100,ALTER_KURZ,5,65 und lter,5,0
