,Gitter_ID_100m,Gitter_ID_100m_neu,Merkmal,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
13918531,100mN34308E43201,CRS3035RES100mN3430800E4320100,INSGESAMT,0,Einheiten insgesamt,8,0
13918532,100mN34308E43201,CRS3035RES100mN3430800E4320100,FAMGROESS_KLASS,1,2 Personen,4,0
13918533,100mN34308E43201,CRS3035RES100mN3430800E4320100,FAMGROESS_KLASS,3,4 Personen,3,0
13918534,100mN34308E43201,CRS3035RES100mN3430800E4320100,FAMTYP_KIND,2,Ehepaare mind. 1 Kind < 18,4,0
13918535,100mN34308E43201,CRS3035RES100mN3430800E4320100,FAMTYP_KIND,7,Nichteheliche Lebensgem. ohne Kind,3,0
13918536,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_SENIOR_HH,3,Haushalte ohne Senioren/-innen,6,0
13918537,100mN34308E43202,CRS3035RES100mN3430800E4320200,INSGESAMT,0,Einheiten insgesamt,4,0
13918538,100mN34308E43202,CRS3035RES100mN3430800E4320200,FAMGROESS_KLASS,2,3 Personen,3,0
13918539,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_SENIOR_HH,3,Haushalte ohne Senioren/-innen,4,0
13918540,100mN34308E43203,CRS3035RES100mN3430800E4320300,INSGESAMT,0,Einheiten insgesamt,4,0
13918541,100mN34308E43203,CRS3035RES100mN3430800E4320300,FAMGROESS_KLASS,2,3 Personen,3,0
13918542,100mN34308E43203,CRS3035RES100mN3430800E4320300,FAMTYP_KIND,2,Ehepaare mind. 1 Kind < 18,3,0
13918543,100mN34308E43203,CRS3035RES100mN3430800E4320300,FAMTYP_KIND,3,Ehepaare alle Kinder ab 18,3,0
13918544,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHTYP_SENIOR_HH,3,Haushalte ohne Senioren/-innen,3,0
13918875,100mN34309E43201,CRS3035RES100mN3430900E4320100,INSGESAMT,0,Einheiten insgesamt,7,0
13918876,100mN34309E43201,CRS3035RES100mN3430900E4320100,FAMGROESS_KLASS,1,2 Personen,5,0
13918877,100mN34309E43201,CRS3035RES100mN3430900E4320100,FAMGROESS_KLASS,3,4 Personen,3,0
13918878,100mN34309E43201,CRS3035RES100mN3430900E4320100,FAMTYP_KIND,1,Ehepaare ohne Kind,4,0
13918879,100mN34309E43201,CRS3035RES100mN3430900E4320100,FAMTYP_KIND,2,Ehepaare mind. 1 Kind < 18,3,0
13918880,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHTYP_SENIOR_HH,1,Haushalte mit ausschlielich Senioren/-innen,3,0
13918881,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHTYP_SENIOR_HH,3,Haushalte ohne Senioren/-innen,4,0
13918882,100mN34309E43202,CRS3035RES100mN3430900E4320200,INSGESAMT,0,Einheiten insgesamt,6,0
13918883,100mN34309E43202,CRS3035RES100mN3430900E4320200,FAMGROESS_KLASS,1,2 Personen,3,0
13918884,100mN34309E43202,CRS3035RES100mN3430900E4320200,FAMGROESS_KLASS,3,4 Personen,3,0
13918885,100mN34309E43202,CRS3035RES100mN3430900E4320200,FAMTYP_KIND,1,Ehepaare ohne Kind,3,0
13918886,100mN34309E43202,CRS3035RES100mN3430900E4320200,FAMTYP_KIND,2,Ehepaare mind. 1 Kind < 18,3,0
13918887,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHTYP_SENIOR_HH,3,Haushalte ohne Senioren/-innen,5,0
13918888,100mN34309E43203,CRS3035RES100mN3430900E4320300,INSGESAMT,0,Einheiten insgesamt,3,0
