,Gitter_ID_100m,Gitter_ID_100m_neu,Merkmal,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
23610316,100mN34308E43201,CRS3035RES100mN3430800E4320100,INSGESAMT,0,Einheiten insgesamt,9,0
23610317,100mN34308E43201,CRS3035RES100mN3430800E4320100,BAUJAHR_MZ,3,1949 - 1978,6,0
23610318,100mN34308E43201,CRS3035RES100mN3430800E4320100,BAUJAHR_MZ,7,1996 - 2000,3,0
23610319,100mN34308E43201,CRS3035RES100mN3430800E4320100,EIGENTUM,2,Privatperson/-en,9,0
23610320,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),9,0
23610321,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPBAUWEISE,1,Freistehendes Haus,6,0
23610322,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPBAUWEISE,2,Doppelhaushlfte,3,0
23610323,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,6,0
23610324,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPGROESSE,2,Einfamilienhaus: Doppelhaushlfte,3,0
23610325,100mN34308E43201,CRS3035RES100mN3430800E4320100,HEIZTYP,4,Zentralheizung,8,0
23610326,100mN34308E43201,CRS3035RES100mN3430800E4320100,ZAHLWOHNGN_HHG,1,1 Wohnung,8,0
23610327,100mN34308E43202,CRS3035RES100mN3430800E4320200,INSGESAMT,0,Einheiten insgesamt,7,0
23610328,100mN34308E43202,CRS3035RES100mN3430800E4320200,BAUJAHR_MZ,2,1919 - 1948,3,0
23610329,100mN34308E43202,CRS3035RES100mN3430800E4320200,BAUJAHR_MZ,3,1949 - 1978,3,0
23610330,100mN34308E43202,CRS3035RES100mN3430800E4320200,EIGENTUM,2,Privatperson/-en,7,0
23610331,100mN34308E43202,CRS3035RES100mN3430800E4320200,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),7,0
23610332,100mN34308E43202,CRS3035RES100mN3430800E4320200,GEBTYPBAUWEISE,1,Freistehendes Haus,7,0
23610333,100mN34308E43202,CRS3035RES100mN3430800E4320200,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,7,0
23610334,100mN34308E43202,CRS3035RES100mN3430800E4320200,HEIZTYP,4,Zentralheizung,6,0
23610335,100mN34308E43202,CRS3035RES100mN3430800E4320200,ZAHLWOHNGN_HHG,1,1 Wohnung,7,0
23610336,100mN34308E43203,CRS3035RES100mN3430800E4320300,INSGESAMT,0,Einheiten insgesamt,6,0
23610337,100mN34308E43203,CRS3035RES100mN3430800E4320300,BAUJAHR_MZ,3,1949 - 1978,4,0
23610338,100mN34308E43203,CRS3035RES100mN3430800E4320300,EIGENTUM,2,Privatperson/-en,6,0
23610339,100mN34308E43203,CRS3035RES100mN3430800E4320300,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),6,0
23610340,100mN34308E43203,CRS3035RES100mN3430800E4320300,GEBTYPBAUWEISE,1,Freistehendes Haus,6,0
23610341,100mN34308E43203,CRS3035RES100mN3430800E4320300,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,6,0
23610342,100mN34308E43203,CRS3035RES100mN3430800E4320300,HEIZTYP,4,Zentralheizung,5,0
23610343,100mN34308E43203,CRS3035RES100mN3430800E4320300,ZAHLWOHNGN_HHG,1,1 Wohnung,6,0
23611068,100mN34309E43200,CRS3035RES100mN3430900E4320000,INSGESAMT,0,Einheiten insgesamt,3,0
23611069,100mN34309E43200,CRS3035RES100mN3430900E4320000,EIGENTUM,2,Privatperson/-en,3,0
23611070,100mN34309E43200,CRS3035RES100mN3430900E4320000,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),3,0
23611071,100mN34309E43200,CRS3035RES100mN3430900E4320000,GEBTYPBAUWEISE,1,Freistehendes Haus,3,0
23611072,100mN34309E43200,CRS3035RES100mN3430900E4320000,GEBTYPGROESSE,4,Freistehendes Zweifamilienhaus,3,0
23611073,100mN34309E43200,CRS3035RES100mN3430900E4320000,HEIZTYP,4,Zentralheizung,3,0
23611074,100mN34309E43200,CRS3035RES100mN3430900E4320000,ZAHLWOHNGN_HHG,2,2 Wohnungen,3,0
23611075,100mN34309E43201,CRS3035RES100mN3430900E4320100,INSGESAMT,0,Einheiten insgesamt,6,0
23611076,100mN34309E43201,CRS3035RES100mN3430900E4320100,BAUJAHR_MZ,3,1949 - 1978,4,0
23611077,100mN34309E43201,CRS3035RES100mN3430900E4320100,EIGENTUM,2,Privatperson/-en,6,0
23611078,100mN34309E43201,CRS3035RES100mN3430900E4320100,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),6,0
23611079,100mN34309E43201,CRS3035RES100mN3430900E4320100,GEBTYPBAUWEISE,1,Freistehendes Haus,6,0
23611080,100mN34309E43201,CRS3035RES100mN3430900E4320100,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,5,0
23611081,100mN34309E43201,CRS3035RES100mN3430900E4320100,HEIZTYP,4,Zentralheizung,6,0
23611082,100mN34309E43201,CRS3035RES100mN3430900E4320100,ZAHLWOHNGN_HHG,1,1 Wohnung,5,0
23611083,100mN34309E43202,CRS3035RES100mN3430900E4320200,INSGESAMT,0,Einheiten insgesamt,9,0
23611084,100mN34309E43202,CRS3035RES100mN3430900E4320200,BAUJAHR_MZ,3,1949 - 1978,8,0
23611085,100mN34309E43202,CRS3035RES100mN3430900E4320200,EIGENTUM,2,Privatperson/-en,8,0
23611086,100mN34309E43202,CRS3035RES100mN3430900E4320200,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),9,0
23611087,100mN34309E43202,CRS3035RES100mN3430900E4320200,GEBTYPBAUWEISE,1,Freistehendes Haus,9,0
23611088,100mN34309E43202,CRS3035RES100mN3430900E4320200,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,8,0
23611089,100mN34309E43202,CRS3035RES100mN3430900E4320200,HEIZTYP,1,Fernheizung (Fernwrme),3,0
23611090,100mN34309E43202,CRS3035RES100mN3430900E4320200,HEIZTYP,4,Zentralheizung,7,0
23611091,100mN34309E43202,CRS3035RES100mN3430900E4320200,ZAHLWOHNGN_HHG,1,1 Wohnung,8,0
23611092,100mN34309E43203,CRS3035RES100mN3430900E4320300,INSGESAMT,0,Einheiten insgesamt,3,0
23611093,100mN34309E43203,CRS3035RES100mN3430900E4320300,BAUJAHR_MZ,3,1949 - 1978,3,0
23611094,100mN34309E43203,CRS3035RES100mN3430900E4320300,EIGENTUM,2,Privatperson/-en,3,0
23611095,100mN34309E43203,CRS3035RES100mN3430900E4320300,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),3,0
23611096,100mN34309E43203,CRS3035RES100mN3430900E4320300,GEBTYPBAUWEISE,1,Freistehendes Haus,3,0
23611097,100mN34309E43203,CRS3035RES100mN3430900E4320300,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,3,0
23611098,100mN34309E43203,CRS3035RES100mN3430900E4320300,HEIZTYP,4,Zentralheizung,3,0
23611099,100mN34309E43203,CRS3035RES100mN3430900E4320300,ZAHLWOHNGN_HHG,1,1 Wohnung,3,0
23611939,100mN34310E43202,CRS3035RES100mN3431000E4320200,INSGESAMT,0,Einheiten insgesamt,4,0
23611940,100mN34310E43202,CRS3035RES100mN3431000E4320200,BAUJAHR_MZ,3,1949 - 1978,3,0
23611941,100mN34310E43202,CRS3035RES100mN3431000E4320200,EIGENTUM,2,Privatperson/-en,4,0
23611942,100mN34310E43202,CRS3035RES100mN3431000E4320200,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),4,0
23611943,100mN34310E43202,CRS3035RES100mN3431000E4320200,GEBTYPBAUWEISE,1,Freistehendes Haus,4,0
23611944,100mN34310E43202,CRS3035RES100mN3431000E4320200,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,3,0
