,Gitter_ID_100m,Gitter_ID_100m_neu,Merkmal,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
18252328,100mN34308E43200,CRS3035RES100mN3430800E4320000,INSGESAMT,0,Einheiten insgesamt,3,0
18252329,100mN34308E43201,CRS3035RES100mN3430800E4320100,INSGESAMT,0,Einheiten insgesamt,10,0
18252330,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHGROESS_KLASS,1,1 Person,3,0
18252331,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHGROESS_KLASS,2,2 Personen,4,0
18252332,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHGROESS_KLASS,4,4 Personen,3,0
18252333,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252334,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18252335,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_FAM,3,Paare mit Kind(ern),4,0
18252336,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252337,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_LEB,2,Ehepaare,5,0
18252338,100mN34308E43201,CRS3035RES100mN3430800E4320100,HHTYP_LEB,4,Nichteheliche Lebensgemeinschaften,3,0
18252339,100mN34308E43202,CRS3035RES100mN3430800E4320200,INSGESAMT,0,Einheiten insgesamt,7,0
18252340,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHGROESS_KLASS,1,1 Person,3,0
18252341,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHGROESS_KLASS,3,3 Personen,3,0
18252342,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252343,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18252344,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_FAM,4,Alleinerziehende Elternteile,3,0
18252345,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252346,100mN34308E43202,CRS3035RES100mN3430800E4320200,HHTYP_LEB,2,Ehepaare,3,0
18252347,100mN34308E43203,CRS3035RES100mN3430800E4320300,INSGESAMT,0,Einheiten insgesamt,6,0
18252348,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHGROESS_KLASS,1,1 Person,3,0
18252349,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252350,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHTYP_FAM,3,Paare mit Kind(ern),4,0
18252351,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252352,100mN34308E43203,CRS3035RES100mN3430800E4320300,HHTYP_LEB,2,Ehepaare,4,0
18252826,100mN34309E43200,CRS3035RES100mN3430900E4320000,INSGESAMT,0,Einheiten insgesamt,3,0
18252827,100mN34309E43200,CRS3035RES100mN3430900E4320000,HHGROESS_KLASS,1,1 Person,3,0
18252828,100mN34309E43200,CRS3035RES100mN3430900E4320000,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252829,100mN34309E43200,CRS3035RES100mN3430900E4320000,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18252830,100mN34309E43201,CRS3035RES100mN3430900E4320100,INSGESAMT,0,Einheiten insgesamt,8,0
18252831,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHGROESS_KLASS,2,2 Personen,5,0
18252832,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHGROESS_KLASS,4,4 Personen,3,0
18252833,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHTYP_FAM,2,Paare ohne Kind(er),4,0
18252834,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18252835,100mN34309E43201,CRS3035RES100mN3430900E4320100,HHTYP_LEB,2,Ehepaare,6,0
18252836,100mN34309E43202,CRS3035RES100mN3430900E4320200,INSGESAMT,0,Einheiten insgesamt,8,0
18252837,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHGROESS_KLASS,2,2 Personen,4,0
18252838,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18252839,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18252840,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHTYP_LEB,2,Ehepaare,4,0
18252841,100mN34309E43202,CRS3035RES100mN3430900E4320200,HHTYP_LEB,4,Nichteheliche Lebensgemeinschaften,3,0
18252842,100mN34309E43203,CRS3035RES100mN3430900E4320300,INSGESAMT,0,Einheiten insgesamt,3,0
18253364,100mN34310E43202,CRS3035RES100mN3431000E4320200,INSGESAMT,0,Einheiten insgesamt,4,0
18253365,100mN34310E43202,CRS3035RES100mN3431000E4320200,HHGROESS_KLASS,2,2 Personen,3,0
18253366,100mN34310E43202,CRS3035RES100mN3431000E4320200,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18253367,100mN34310E43203,CRS3035RES100mN3431000E4320300,INSGESAMT,0,Einheiten insgesamt,11,0
18253368,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHGROESS_KLASS,2,2 Personen,3,0
18253369,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHGROESS_KLASS,3,3 Personen,4,0
18253370,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHGROESS_KLASS,4,4 Personen,3,0
18253371,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHGROESS_KLASS,5,5 Personen,3,0
18253372,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18253373,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHTYP_FAM,3,Paare mit Kind(ern),8,0
18253374,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHTYP_LEB,2,Ehepaare,8,0
18253375,100mN34310E43203,CRS3035RES100mN3431000E4320300,HHTYP_LEB,4,Nichteheliche Lebensgemeinschaften,3,0
18253926,100mN34311E43182,CRS3035RES100mN3431100E4318200,INSGESAMT,0,Einheiten insgesamt,3,0
18255088,100mN34313E43180,CRS3035RES100mN3431300E4318000,INSGESAMT,0,Einheiten insgesamt,3,0
18255089,100mN34313E43267,CRS3035RES100mN3431300E4326700,INSGESAMT,0,Einheiten insgesamt,5,0
18255090,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHGROESS_KLASS,1,1 Person,3,0
18255091,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHGROESS_KLASS,2,2 Personen,3,0
18255092,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18255093,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18255094,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18255095,100mN34313E43267,CRS3035RES100mN3431300E4326700,HHTYP_LEB,2,Ehepaare,3,0
18255825,100mN34314E43180,CRS3035RES100mN3431400E4318000,INSGESAMT,0,Einheiten insgesamt,3,0
18255826,100mN34314E43180,CRS3035RES100mN3431400E4318000,HHGROESS_KLASS,2,2 Personen,3,0
18255827,100mN34314E43180,CRS3035RES100mN3431400E4318000,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18255828,100mN34314E43180,CRS3035RES100mN3431400E4318000,HHTYP_LEB,2,Ehepaare,3,0
18255829,100mN34314E43270,CRS3035RES100mN3431400E4327000,INSGESAMT,0,Einheiten insgesamt,3,0
18255830,100mN34314E43270,CRS3035RES100mN3431400E4327000,HHGROESS_KLASS,2,2 Personen,3,0
18255831,100mN34314E43270,CRS3035RES100mN3431400E4327000,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18257385,100mN34316E43260,CRS3035RES100mN3431600E4326000,INSGESAMT,0,Einheiten insgesamt,3,0
18257386,100mN34316E43266,CRS3035RES100mN3431600E4326600,INSGESAMT,0,Einheiten insgesamt,3,0
18258306,100mN34317E43252,CRS3035RES100mN3431700E4325200,INSGESAMT,0,Einheiten insgesamt,3,0
18258307,100mN34317E43252,CRS3035RES100mN3431700E4325200,HHGROESS_KLASS,2,2 Personen,3,0
18258308,100mN34317E43252,CRS3035RES100mN3431700E4325200,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18258309,100mN34317E43252,CRS3035RES100mN3431700E4325200,HHTYP_LEB,2,Ehepaare,3,0
18258310,100mN34317E43254,CRS3035RES100mN3431700E4325400,INSGESAMT,0,Einheiten insgesamt,3,0
18259212,100mN34318E43253,CRS3035RES100mN3431800E4325300,INSGESAMT,0,Einheiten insgesamt,7,0
18259213,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHGROESS_KLASS,1,1 Person,3,0
18259214,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHGROESS_KLASS,2,2 Personen,3,0
18259215,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259216,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18259217,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18259218,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259219,100mN34318E43253,CRS3035RES100mN3431800E4325300,HHTYP_LEB,2,Ehepaare,4,0
18259220,100mN34318E43254,CRS3035RES100mN3431800E4325400,INSGESAMT,0,Einheiten insgesamt,13,0
18259221,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHGROESS_KLASS,1,1 Person,3,0
18259222,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHGROESS_KLASS,2,2 Personen,6,0
18259223,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHGROESS_KLASS,3,3 Personen,5,0
18259224,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259225,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_FAM,2,Paare ohne Kind(er),5,0
18259226,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_FAM,3,Paare mit Kind(ern),4,0
18259227,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259228,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_LEB,2,Ehepaare,7,0
18259229,100mN34318E43254,CRS3035RES100mN3431800E4325400,HHTYP_LEB,4,Nichteheliche Lebensgemeinschaften,3,0
18259230,100mN34318E43255,CRS3035RES100mN3431800E4325500,INSGESAMT,0,Einheiten insgesamt,3,0
18259978,100mN34319E43250,CRS3035RES100mN3431900E4325000,INSGESAMT,0,Einheiten insgesamt,4,0
18259979,100mN34319E43250,CRS3035RES100mN3431900E4325000,HHGROESS_KLASS,2,2 Personen,3,0
18259980,100mN34319E43250,CRS3035RES100mN3431900E4325000,HHTYP_FAM,2,Paare ohne Kind(er),3,0
18259981,100mN34319E43250,CRS3035RES100mN3431900E4325000,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18259982,100mN34319E43250,CRS3035RES100mN3431900E4325000,HHTYP_LEB,2,Ehepaare,3,0
18259983,100mN34319E43251,CRS3035RES100mN3431900E4325100,INSGESAMT,0,Einheiten insgesamt,4,0
18259984,100mN34319E43251,CRS3035RES100mN3431900E4325100,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18259985,100mN34319E43251,CRS3035RES100mN3431900E4325100,HHTYP_LEB,2,Ehepaare,3,0
18259986,100mN34319E43252,CRS3035RES100mN3431900E4325200,INSGESAMT,0,Einheiten insgesamt,10,0
18259987,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHGROESS_KLASS,1,1 Person,3,0
18259988,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHGROESS_KLASS,2,2 Personen,6,0
18259989,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHGROESS_KLASS,3,3 Personen,3,0
18259990,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_FAM,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259991,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_FAM,2,Paare ohne Kind(er),5,0
18259992,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_FAM,3,Paare mit Kind(ern),3,0
18259993,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_LEB,1,Einpersonenhaushalte (Singlehaushalte),3,0
18259994,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_LEB,2,Ehepaare,4,0
18259995,100mN34319E43252,CRS3035RES100mN3431900E4325200,HHTYP_LEB,4,Nichteheliche Lebensgemeinschaften,3,0
18259996,100mN34319E43253,CRS3035RES100mN3431900E4325300,INSGESAMT,0,Einheiten insgesamt,10,0
18259997,100mN34319E43253,CRS3035RES100mN3431900E4325300,HHGROESS_KLASS,2,2 Personen,3,0
