,Gitter_ID_100m,Gitter_ID_100m_neu,Merkmal,Auspraegung_Code,Auspraegung_Text,Anzahl,Anzahl_q
49824452,100mN34308E43200,CRS3035RES100mN3430800E4320000,INSGESAMT,0,Einheiten insgesamt,3,0
49824453,100mN34308E43200,CRS3035RES100mN3430800E4320000,BAUJAHR_MZ,6,1991 - 1995,3,0
49824454,100mN34308E43200,CRS3035RES100mN3430800E4320000,EIGENTUM,2,Privatperson/-en,3,0
49824455,100mN34308E43200,CRS3035RES100mN3430800E4320000,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),3,0
49824456,100mN34308E43200,CRS3035RES100mN3430800E4320000,GEBTYPBAUWEISE,1,Freistehendes Haus,3,0
49824457,100mN34308E43200,CRS3035RES100mN3430800E4320000,GEBTYPGROESSE,4,Freistehendes Zweifamilienhaus,3,0
49824458,100mN34308E43200,CRS3035RES100mN3430800E4320000,HEIZTYP,4,Zentralheizung,3,0
49824459,100mN34308E43200,CRS3035RES100mN3430800E4320000,WOHNEIGENTUM,99,Trifft nicht zu (da keine Eigentumswohnung),3,0
49824460,100mN34308E43200,CRS3035RES100mN3430800E4320000,ZAHLWOHNGN_HHG,2,2 Wohnungen,3,0
49824461,100mN34308E43201,CRS3035RES100mN3430800E4320100,INSGESAMT,0,Einheiten insgesamt,10,0
49824462,100mN34308E43201,CRS3035RES100mN3430800E4320100,BAUJAHR_MZ,2,1919 - 1948,3,0
49824463,100mN34308E43201,CRS3035RES100mN3430800E4320100,BAUJAHR_MZ,3,1949 - 1978,6,0
49824464,100mN34308E43201,CRS3035RES100mN3430800E4320100,BAUJAHR_MZ,7,1996 - 2000,3,0
49824465,100mN34308E43201,CRS3035RES100mN3430800E4320100,EIGENTUM,2,Privatperson/-en,10,0
49824466,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBAEUDEART_SYS,111,Wohngebude (ohne Wohnheime),10,0
49824467,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPBAUWEISE,1,Freistehendes Haus,6,0
49824468,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPBAUWEISE,2,Doppelhaushlfte,3,0
49824469,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPGROESSE,1,Freistehendes Einfamilienhaus,6,0
49824470,100mN34308E43201,CRS3035RES100mN3430800E4320100,GEBTYPGROESSE,2,Einfamilienhaus: Doppelhaushlfte,3,0
49824471,100mN34308E43201,CRS3035RES100mN3430800E4320100,HEIZTYP,4,Zentralheizung,9,0
49824472,100mN34308E43201,CRS3035RES100mN3430800E4320100,NUTZUNG_DETAIL_HHGEN,11,Eigentum: mit aktuell gefhrtem Haushalt,8,0
49824473,100mN34308E43201,CRS3035RES100mN3430800E4320100,NUTZUNG_DETAIL_HHGEN,21,Vermietet: mit aktuell gefhrtem Haushalt,3,0
49824474,100mN34308E43201,CRS3035RES100mN3430800E4320100,RAUMANZAHL,3,3 Rume,3,0
49824475,100mN34308E43201,CRS3035RES100mN3430800E4320100,RAUMANZAHL,5,5 Rume,3,0
49824476,100mN34308E43201,CRS3035RES100mN3430800E4320100,RAUMANZAHL,7,7 und mehr Rume,3,0
49824477,100mN34308E43201,CRS3035RES100mN3430800E4320100,WOHNEIGENTUM,99,Trifft nicht zu (da keine Eigentumswohnung),10,0
49824478,100mN34308E43201,CRS3035RES100mN3430800E4320100,WOHNFLAECHE_10S,10,110 - 119,3,0
49824479,100mN34308E43201,CRS3035RES100mN3430800E4320100,ZAHLWOHNGN_HHG,1,1 Wohnung,8,0
49824480,100mN34308E43201,CRS3035RES100mN3430800E4320100,ZAHLWOHNGN_HHG,2,2 Wohnungen,3,0
